sentence1Text,sentence2Text
Scientific Consultations Under Endangered Species Act Restored,"Obama overturns Bush midnight rules on science , health care"
British climber dies in New Zealand fall,"On Friday , 36 - year - old Duncan Rait died after slipping and falling about 60m from a ridge near the Tasman Glacier ."
"AMD ( NYSE : AMD ) today announced it has signed a definitive agreement to acquire SeaMicro , a pioneer in energy - efficient , high - bandwidth microservers , for approximately $334 million , of which approximately $281 million will be paid in cash .",AMD Enters Server Business With Bold Acquisition
"After a witty intro by Siri herself , Apple CEO Tim Cook took the stage in San Francisco to welcome developers and announce new stuff .",New MacBook Air models officially unveiled with Ivy Bridge upgrade
"Fred LaRue , a close aide to former Attorney General John Mitchell and the first person to plead guilty in the Watergate scandal , died of natural causes .",Deep Throat suspect found dead in hotel
H-P announced Tuesday that it will buy the outsourcing services company for $ 13.9 billion .,Earlier this month Hewlett-Packard unveiled a bid of nearly $ 14 billion bid to purchase EDS .
"The teenager was shot and killed by police in Athens eight days ago , triggering violent protests which have spread across the country .","They gripped rocks and stones , looking ready for a fight ."
"Esther Williams , Olympic swimmer turned actress and pinup girl , dies at 91","Williams died peacefully in her sleep Thursday in Beverly Hills , family spokesman Harlan Boll announced ."
"After telling People in October that she did n't `` need to do any of that anymore , '' `` American Pie '' actress and former travel reporter Tara Reid checked into Promises Treatment Center on Friday for an unspecified problem .",The specific reason behind her checking in to the facility is currently unknown to the public .
Two climbers killed in Mt Cook falls,One Australian and one English climber have fallen to their deaths in New Zealand .
